country,y2015,y2016,y2017,y2018
Australia,45584.3226,45929.17787,46442.19978,46941.78553
Austria,42960.97392,43284.0167,44109.21153,45062.49034
Belgium,40899.68264,41284.37437,41800.56296,42193.38876
Canada,42498.05966,42484.74605,43234.40234,43430.22713
Chile,20789.15587,20867.0832,20854.69351,21407.89059
Czech Republic,29874.27361,30541.63326,31798.02902,32574.85986
Denmark,44760.23366,45458.31784,46180.44033,46618.44236
Estonia,26244.79854,27106.8404,28429.81621,29450.49325
Finland,37987.79893,38935.64735,39874.82232,40744.40203
France,36902.41575,37168.78105,37875.68139,38408.14831
Germany,42690.70001,43297.04211,44066.19126,44562.18339
Greece,23649.17141,23702.52721,24106.89704,24635.38507
Hungary,24103.12649,24725.73074,25817.19671,27139.16431
Iceland,43726.40266,45984.71846,46981.15438,47863.96582
Ireland,60263.85764,62560.46336,66334.2284,69898.18044
Israel,31345.40593,31967.07399,32442.54354,32867.65649
Italy,33162.32222,33590.40078,34207.3558,34557.45821
Japan,37035.85076,37313.3923,38101.21518,38481.31413
Korea,34192.45287,35035.41089,35968.09017,36778.42035
Latvia,22146.74357,22811.30555,24092.42295,25437.80185
Lithuania,25784.38227,26728.62594,28288.35369,29508.54943
Luxembourg,87496.35524,87347.41662,86788.13511,87316.63355
Mexico,16659.51245,16967.78036,17143.89983,17314.83165
Netherlands,45854.74514,46612.10587,47666.63198,48654.08407
New Zealand,33980.8125,34498.02316,34675.42237,34980.80299
Norway,59498.06181,59687.0964,60396.23522,60842.97851
Poland,24169.46122,24927.82532,26131.28325,27483.34201
Portugal,26675.88563,27275.43669,28106.38708,28770.04978
Slovak Republic,28182.87119,29018.42128,29901.86471,31086.97962
Slovenia,28094.95914,28938.21155,30333.13473,31608.59571
Spain,31799.92075,32780.74291,33696.27915,34419.04738
Sweden,44256.83138,44877.24689,45208.56262,45740.57543
Switzerland,54452.989,54724.02477,55092.24114,55951.72124
Turkey,22709.37214,23119.09339,24519.32209,24810.67959
United Kingdom,38490.78685,38858.39333,39331.89358,39625.9863
United States,52005.17309,52437.51953,53219.41868,54401.28638
